Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,-0.0625,-9.3125,-33.625,-0.00752352,0.023068776,0.101094184,,,
,1.3125,-11.125,-33.4375,-0.007722816,0.025061735,0.099599388,,,
,-0.6875,-13.0625,-33.75,-0.009068082,0.024164898,0.09915102,,,
,-2.3125,-13.25,-34.375,-0.010612653,0.01973051,0.099997959,,,
,1,-14.75,-33.75,-0.008420357,0.016840714,0.099499796,,,
,5.5625,-12.375,-32.875,-0.008769133,0.016790918,0.102538776,,,
,11.25,-7.5,-33.25,-0.008221061,0.021275102,0.103784694,,,
,11,-4.9375,-34.125,-0.010662449,0.022470918,0.104183673,,,
,7.375,-2.4375,-33.6875,-0.013452653,0.018783878,0.105378571,,,
,6.6875,-2.3125,-31.125,-0.012705306,0.011708776,0.104631633,,,
,9.3125,-2.9375,-28.0625,-0.014797959,0.010214082,0.103236735,,,
,8.625,-3.5625,-26.0625,-0.01818602,0.010861735,0.099699082,,,
,2.375,-5.0625,-23.625,-0.017986735,0.008868786,0.100745408,,,
,1.875,-7.75,-21.0625,-0.014648469,0.006228082,0.101492755,,,
,2.9375,-8.5625,-18.9375,-0.011758571,0.006925622,0.101542551,,,
,2.9375,-6.6875,-18.0625,-0.009217551,0.008818959,0.101492755,,,
,1.9375,-4.9375,-18.625,-0.006975449,0.009416857,0.10199102,,,
,0.5625,-3.25,-20.4375,-0.005281408,0.012007755,0.10114398,,,
,-3.6875,-2.3125,-22.3125,-0.003886316,0.012406327,0.100845,,,
,-6.125,-2.3125,-23.4375,-0.001494735,0.009715796,0.100396633,,,
,-5.1875,-3.0625,-24.5,-0.000348772,0.006925622,0.100247143,,,
,-2.25,-2.875,-24.75,9.96492E-05,0.006327724,0.099599388,,,
,0.125,-3,-24.6875,-0.000298948,0.007025276,0.099001531,,,
,0.875,-4,-23.875,-0.000448421,0.007971939,0.098802245,,,
,0.0625,-4.9375,-22.8125,-0.001345265,0.008619663,0.09815449,,,
,-1.6875,-5.25,-21.375,-0.000896843,0.008171235,0.096759388,,,
,-2.375,-5.25,-20.0625,-0.000298948,0.007423867,0.097058367,,,
,-1.8125,-4.9375,-18.75,0.000498246,0.007174745,0.096859082,,,
,-0.6875,-3.875,-17.5,0.000448421,0.007922112,0.096659796,,,
,-0.625,-2.6875,-16.6875,0.001594388,0.007971939,0.097407143,,,
,-1,-1.75,-16.5625,0.002092633,0.009217551,0.097307449,,,
,-2.3125,-0.625,-16.4375,0.002042806,0.009167735,0.098453469,,,
,-2.9375,-0.3125,-16.125,0.003089122,0.008221061,0.099350306,,,
,-1.9375,-1.25,-14.9375,0.004733337,0.007473694,0.09830398,,,
,-0.125,-2.1875,-13.8125,0.0038365,0.006726327,0.099499796,,,
,1,-3.875,-12.5,0.001594388,0.006726327,0.100496224,,,
,1.625,-5.6875,-10.8125,0.000797194,0.006726327,0.102090816,,,
,9.75,-11.1875,-7,-0.005231582,0.007124918,0.105080612,,,
