timestamp,x,y,z,w
31125748785,0.337036,0.0916748,0.806702,0.476624
31125763116,0.33667,0.0917358,0.806885,0.476562
31125786359,0.336243,0.0916138,0.807068,0.476562
31125809034,0.335999,0.0916138,0.80719,0.476501
31125823132,0.33606,0.0916748,0.807129,0.476501
31125846420,0.33606,0.0916748,0.807129,0.476501
31125868913,0.33606,0.0917358,0.807129,0.476501
31125883136,0.33606,0.0917358,0.807129,0.476501
31125906371,0.335815,0.09198,0.80719,0.476562
31125928885,0.335754,0.09198,0.80719,0.476562
31125943209,0.335754,0.09198,0.80719,0.476562
31125966340,0.335754,0.092041,0.80719,0.476562
31125988831,0.335449,0.092041,0.807312,0.476624
31126003098,0.335205,0.092041,0.807373,0.476685
31126026360,0.3349,0.0918579,0.807434,0.476868
31126048945,0.334656,0.0915527,0.807434,0.47699
31126070108,0.334351,0.0914307,0.807434,0.477234
31126086296,0.333984,0.0911865,0.807434,0.477539
31126108901,0.33374,0.0910034,0.807434,0.477844
31126130110,0.333435,0.0908203,0.807373,0.47821
31126146422,0.333191,0.0907593,0.807251,0.478516
31126169380,0.333008,0.0908203,0.807129,0.478821
31126189985,0.332947,0.0909424,0.807007,0.479065
31126206352,0.333008,0.0909424,0.806885,0.479248
31126229009,0.333008,0.0911255,0.806641,0.479553
31126249927,0.332947,0.0911865,0.80658,0.479797
31126266392,0.332886,0.0912476,0.80658,0.479797
31126288746,0.332886,0.0911865,0.80658,0.479797
31126309879,0.332886,0.0912476,0.80658,0.479797
31126326320,0.332642,0.0910034,0.806519,0.480164
31126348809,0.33252,0.0910034,0.806396,0.480469
31126370028,0.332153,0.0907593,0.806335,0.480774
31126386311,0.331726,0.0906372,0.806335,0.481079
31126408829,0.331238,0.0903931,0.806396,0.481384
31126429980,0.330688,0.0899658,0.806458,0.48175
31126446475,0.330017,0.0895996,0.806519,0.482117
31126468999,0.329468,0.0892334,0.80658,0.482422
31126490085,0.328918,0.0888672,0.806641,0.482849
31126506488,0.328369,0.0884399,0.806702,0.483215
31126529011,0.327881,0.0879517,0.806702,0.483643
31126551339,0.327515,0.0874634,0.806702,0.483948
31126566380,0.327148,0.0870361,0.806763,0.484192
31126589043,0.326721,0.0866699,0.806885,0.484314
31126611376,0.326477,0.0862427,0.806946,0.484436
31126626335,0.326233,0.0861206,0.807007,0.484558
31126648962,0.32605,0.0861816,0.806946,0.484741
31126677510,0.325867,0.0863647,0.806885,0.484985
31126685654,0.325745,0.0863647,0.806885,0.484985
31126708848,0.325134,0.0864868,0.806946,0.485291
31126731847,0.324524,0.0866699,0.806885,0.485779
31126745703,0.323853,0.0869141,0.806763,0.486389
31126768867,0.32312,0.0873413,0.806519,0.487244
31126791527,0.322327,0.0877075,0.806152,0.488281
31126805669,0.321533,0.0881348,0.805725,0.489502
31126828860,0.320618,0.088562,0.805115,0.490967
31126851354,0.319824,0.0890503,0.804321,0.492676
31126865856,0.319092,0.0897827,0.803345,0.494629
31126889000,0.31842,0.0906372,0.802124,0.496826
31126911363,0.317749,0.0914917,0.800903,0.499146
31126925722,0.317261,0.0925293,0.799438,0.501587
31126948905,0.316711,0.0935059,0.797852,0.504211
31126971375,0.316284,0.0945435,0.796204,0.506958
31126992486,0.315918,0.0956421,0.794495,0.509583
31127008798,0.315796,0.0967407,0.792786,0.512146
31127031370,0.315674,0.0974121,0.79126,0.514465
31127052533,0.315674,0.0978394,0.789795,0.516663
31127068840,0.315735,0.0981445,0.788452,0.518555
31127091322,0.31604,0.0982056,0.78717,0.520264
31127112438,0.316406,0.0980835,0.786011,0.521912
31127128939,0.316956,0.0976562,0.78479,0.523438
31127151463,0.317505,0.097168,0.783691,0.524841
31127172333,0.318298,0.0964355,0.782593,0.526123
31127188833,0.319214,0.0956421,0.781494,0.527344
31127211335,0.320007,0.0947876,0.780457,0.528564
31127232371,0.320801,0.0941772,0.779419,0.529724
31127248797,0.321472,0.09375,0.778381,0.530884
31127271339,0.322144,0.0933228,0.777466,0.53186
31127292589,0.322632,0.0930176,0.776733,0.532715
31127308983,0.322876,0.0927124,0.776123,0.533569
31127331405,0.32312,0.0922852,0.775513,0.534363
31127352423,0.323486,0.0918579,0.774902,0.535095
31127368917,0.323914,0.0914307,0.774292,0.535828
31127391314,0.324463,0.0910034,0.773682,0.536499
31127412538,0.324951,0.0904541,0.77301,0.53717
31127428924,0.325378,0.0898438,0.772461,0.537781
31127434223,0.325989,0.0892944,0.771973,0.53833
31127456726,0.326477,0.0887451,0.771545,0.538635
31127479244,0.326904,0.0883179,0.77124,0.538879
31127494492,0.327271,0.0878906,0.770996,0.539062
31127516803,0.327393,0.0874634,0.770935,0.539246
31127539372,0.327454,0.0871582,0.770813,0.539368
31127554457,0.327393,0.0870972,0.770874,0.539368
31127576999,0.327393,0.0870972,0.770874,0.539368
31127599395,0.327332,0.0870972,0.770874,0.539368
31127614168,0.327332,0.0870972,0.770874,0.539368
31127636816,0.327271,0.0870972,0.770874,0.539368
31127659220,0.327271,0.0870972,0.770874,0.539368
31127674300,0.327209,0.0870972,0.770874,0.539429
31127696765,0.327148,0.0871582,0.770874,0.539429
31127719300,0.327148,0.0871582,0.770935,0.539429
31127734457,0.326965,0.0870361,0.770813,0.539673
31127756936,0.326843,0.0870972,0.770752,0.539856
31127779173,0.32666,0.0871582,0.77063,0.5401
31127794210,0.326355,0.0871582,0.770508,0.540466
31127816864,0.326111,0.0872192,0.770386,0.540833
31127839354,0.325928,0.0873413,0.770142,0.541199
31127854376,0.325745,0.0874023,0.769958,0.541626
31127876687,0.325378,0.0875854,0.769714,0.542114
31127899226,0.324768,0.0875854,0.76947,0.542786
