timestamp,roll,pitch,yaw,AccX,AccY,AccZ,RelAccX,RelAccY,RelAccZ,GyroX,GyroY,GyroZ,QuarX,QuarY,QuarZ,QuarW
31124404955,0.507782,-0.444456,1.94244,0.501953,0.537109,0.875,-59.7783303,30.71630731,76.2524348,16.1875,-8.1875,-3.6875,0.314392,0.0819092,0.810669,0.486938
31124421378,0.514297,-0.446048,1.94035,0.491211,0.548828,0.861328,-59.2871193,31.26513531,77.1137628,12.4375,-5.625,-1.5,0.31665,0.0837402,0.809875,0.486572
31124443788,0.519017,-0.447427,1.93927,0.482422,0.538574,0.844727,-58.8046973,31.80370931,77.9584898,8.9375,-4,0.6875,0.318359,0.085083,0.809387,0.486023
31124464990,0.52228,-0.448993,1.93874,0.478027,0.530762,0.833984,-58.3266703,32.33447131,78.7924738,6.125,-3.8125,2.1875,0.319763,0.0858765,0.809082,0.485413
31124481547,0.524676,-0.451373,1.93886,0.484863,0.520996,0.809082,-57.8418073,32.85546731,79.6015558,4.25,-3.9375,4.4375,0.321228,0.0861816,0.80896,0.484558
31124505199,0.526331,-0.454197,1.93984,0.482422,0.499023,0.786133,-57.3593853,33.35449031,80.3876888,3.125,-3.6875,6.25,0.322632,0.0861816,0.809082,0.483459
31124524898,0.527307,-0.45699,1.94095,0.464844,0.50293,0.767578,-56.8945413,33.85742031,81.1552668,1.3125,-4.125,7.125,0.323853,0.0859375,0.809265,0.482422
31124541295,0.527426,-0.459047,1.94242,0.447266,0.493652,0.774414,-56.4472753,34.35107231,81.9296808,-0.1875,-3,7.3125,0.324585,0.0856323,0.80957,0.481445
31124563769,0.527981,-0.460479,1.94363,0.431641,0.487305,0.758789,-56.0156343,34.83837731,82.6884698,0.5625,-2.4375,6.25,0.325195,0.0856323,0.809814,0.480652
31124584911,0.528862,-0.461953,1.94412,0.429688,0.490723,0.73877,-55.5859463,35.32910031,83.4272398,-0.375,-2.5625,4.9375,0.325928,0.0856323,0.809875,0.480103
31124601251,0.528884,-0.463114,1.94453,0.431641,0.475586,0.734375,-55.1543053,35.80468631,84.1616148,-1.5625,-2.1875,3.875,0.326355,0.0853882,0.809937,0.479675
