timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
31124456903,-4,-3,-2,-3,-2,-4,-22,-4
31124465718,-4,-2,-1,3,7,1,14,3
31124465718,-3,2,-1,-2,1,0,9,1
31124480706,3,-1,-4,-4,1,-2,6,-1
31124480706,-4,-1,2,-1,1,-3,-4,-2
31124482149,2,-1,-4,-2,-8,0,-6,-2
31124482149,-5,-6,-3,0,3,-3,4,0
31124504387,-5,-2,-3,-2,-3,-4,-10,-7
31124504387,-3,1,1,3,1,5,16,5
31124506019,0,-3,-3,-9,7,-3,-10,2
31124506019,5,-2,-2,2,-4,-4,-4,-4
31124516658,-5,0,-1,-2,-1,-1,-3,-1
31124516658,-7,-5,-1,-1,1,1,-5,-3
31124525522,0,3,3,1,-6,-8,-3,-2
31124525522,-4,-4,-1,-2,-3,0,-1,-4
31124540484,-5,-6,0,-2,0,1,-9,0
31124540484,-3,-5,0,-2,-6,2,11,11
31124542036,12,2,-4,-3,-5,0,0,-1
31124542036,1,4,0,5,3,1,-8,2
31124563032,8,2,4,1,-1,7,7,-1
31124563032,-2,-2,-4,-2,2,-5,5,-3
31124564542,-8,-5,-1,-2,-6,-1,-8,-4
31124564542,-2,-2,2,1,-1,-1,-4,2
31124576698,-3,-1,-2,-1,6,1,1,-2
31124576698,4,2,0,-1,-1,-1,-3,-3
31124585622,3,-3,0,4,-1,2,-16,-1
31124585622,0,-2,-1,1,-2,-4,-8,0
31124600506,-1,0,0,-1,0,1,-4,3
31124600506,3,0,0,0,1,0,3,-5
31124602044,-4,-5,-3,-2,-2,1,-2,1
31124602044,-5,1,-1,-3,-4,-3,0,-3
31124623137,-6,-3,-4,-2,-3,-6,4,-3
31124623137,-5,-1,-3,-9,2,8,16,2
31124624653,-2,0,-2,2,-4,-8,-11,-9
31124624653,5,4,-2,-10,-2,-2,43,7
31124645580,-4,-6,-3,3,3,-3,-13,-1
31124645580,-1,-1,0,-1,-4,-7,-6,-4
31124647156,-5,-1,-1,1,2,2,5,-1
31124647156,-7,-2,-1,-4,0,-1,-7,-1
31124660625,1,0,-1,-3,-3,-9,-11,-3
31124660625,1,-1,-3,1,-1,0,7,-1
31124662165,-2,0,1,1,-1,7,3,2
31124662165,-1,-2,1,1,-3,-4,-12,-3
31124683152,2,1,1,0,2,-2,8,1
31124683152,0,-2,-1,1,-1,-4,-20,-4
31124684608,-2,0,0,-5,1,1,9,-2
31124684608,1,-2,-3,0,-1,-4,6,-2
31124705664,-2,1,-1,-1,0,1,-9,2
31124705664,0,-2,1,2,-3,1,-5,-2
31124707105,-2,-2,-4,-5,-3,7,25,4
31124707105,-4,-5,-3,-1,9,-1,-14,-2
31124720673,1,0,-3,-2,-3,-1,22,-2
31124720673,-7,-3,0,1,0,-3,-5,-3
31124722159,16,6,1,1,-1,-5,-3,1
31124722159,-5,-5,-1,-1,-5,8,-1,-2
31124743064,-1,0,0,3,1,-1,-4,3
31124743064,-2,0,2,0,-1,-2,11,0
31124744629,-4,-4,-2,-5,-3,-5,-1,-5
31124744629,3,-3,-6,2,0,5,6,2
31124765665,-1,2,1,-1,-4,1,-7,-3
31124765665,0,-1,-6,-5,4,2,5,-2
31124767069,-5,-2,0,-4,-5,-6,-16,-2
31124767069,-3,0,-1,4,2,-3,-1,-3
31124780117,2,0,0,-8,0,4,3,1
31124780117,3,0,0,3,7,-4,-6,-2
31124786968,-2,1,-2,-2,-5,-1,-3,2
31124786968,-8,-7,-4,-3,7,7,-9,-5
31124803010,-1,0,3,5,-5,-5,-9,-7
31124803010,-5,-5,-3,-4,-5,0,-3,1
31124804536,6,0,-1,0,-1,0,-3,0
31124804536,-3,1,2,0,4,-3,-14,-3
31124825689,5,1,0,0,-5,1,24,-1
31124825689,-2,-1,0,0,-1,-1,-3,0
31124827156,-5,-1,-3,4,1,-4,-2,-5
31124827156,5,2,-3,-4,-3,4,4,0
31124839849,-3,-1,-2,0,0,2,7,2
31124839849,0,0,0,2,2,-1,2,1
31124846687,-1,-3,2,-1,-1,1,12,-1
31124846687,0,-2,-5,-2,-7,-6,-8,-2
31124863064,-5,-5,0,-2,1,3,-4,-3
31124863064,3,4,0,-4,-4,-2,2,4
31124864834,-5,-4,-4,0,0,3,-9,-5
31124864834,-5,-2,2,1,-5,-3,2,-6
31124885639,-2,-1,-1,2,-1,-1,3,8
31124885639,1,-1,0,-4,-3,-2,-27,-3
31124887120,-3,-6,-3,-4,-3,0,-6,-1
31124887120,2,2,3,3,6,-2,-6,0
31124900000,5,-2,-2,-1,-4,-2,-5,-4
