Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
255,20.875,21.5625,19.125,-0.100047857,-0.058245,0.028798673,,,
256,56.4375,22.375,17.9375,-0.094367857,-0.039112347,0.019381735,,,
257,54.25,22.9375,12,-0.091926429,-0.027204286,0.01689051,,,
258,30.375,21.0625,10.4375,-0.089086429,-0.022371224,0.01165898,,,
259,31.3125,21.375,11.3125,-0.083007857,-0.032186735,0.019680714,,,
260,46.3125,20.25,15.9375,-0.078174796,-0.013203571,0.017438571,,,
261,36.8125,18.375,16.5,-0.085847857,0.003188776,0.016192959,,,
262,24.375,18.375,20.1875,-0.094766429,0.000946667,0.018933367,,,
263,-2,15.5,28.4375,-0.097556633,0.029247041,0.013701735,,,
264,-99.4375,5.4375,36.75,-0.103485714,0.016093367,0.014648469,,,
265,-150.625,-3.8125,39.1875,-0.097058367,-0.009765622,0.031588776,,,
266,-189.812,-19.125,37.8125,-0.102090816,-0.034179694,0.030044286,,,
267,-188.625,-35.75,24.8125,-0.104681633,-0.062828878,0.046037959,,,
268,-167.375,-52.5,14.6875,-0.103634694,-0.065768469,0.045141122,,,
269,-130.062,-65.6875,18.9375,-0.108567347,-0.044842143,0.02585898,,,
270,-93.25,-84.75,26.125,-0.112653061,-0.027204286,0.068110204,,,
271,22.5,-61.8125,10.5,-0.089534796,-0.065419694,-0.009167735,,,
272,179,-30.4375,-12,-0.093221837,0.000398597,-0.04274949,,,
273,23.75,-25.6875,5.3125,-0.10069551,0.028848469,-0.005580357,,,
274,-36.3125,-18.1875,10.875,-0.077178367,-0.020776837,0.004434388,,,
275,-51.8125,-20.4375,0.1875,-0.094616939,-0.02002949,0.007971939,,,
276,-104.812,-27.8125,0.375,-0.099400102,-0.027254082,0.019680714,,,
277,-97.25,-32.6875,3,-0.098353776,-0.045041429,0.029844898,,,
278,-51.0625,-35,-0.5,-0.095214796,-0.043945306,0.032983878,,,
279,-6.0625,-33.1875,-7.3125,-0.095065408,-0.041254796,0.021872959,,,
280,33,-32.25,-13.4375,-0.092873061,-0.037019694,0.014997245,,,
281,51.375,-31.9375,-21.1875,-0.091677347,-0.042849184,0.00652702,,,
282,91.1875,-34.8125,-29.25,-0.091428163,-0.050422551,0.007971939,,,
283,133.812,-30.3125,-37.8125,-0.096759388,-0.048080714,0.010911633,,,
284,150.438,12.3125,-40.6875,-0.102688776,-0.052565,0.016641429,,,
285,70.0625,24.125,-48.8125,-0.08679449,-0.049027449,0.028848469,,,
286,65.625,26.4375,-46.0625,-0.087342551,-0.040706735,0.030243571,,,
287,63.6875,25.75,-43.5,-0.090780408,-0.040407755,0.027901837,,,
288,62.9375,20.8125,-36.375,-0.088787449,-0.029795102,0.027104592,,,
